worker_no,exclude,item1,item2,item3,chosen_item,isrepeat,RT
1,0,mistletoe,laptop,trigger,trigger,0,1533
1,0,navel,dice,tape measure,tape measure,0,1984
1,0,hopscotch,macadamia,coaster,macadamia,1,1958
1,0,trophy,canister,plaster cast,plaster cast,0,3415
1,0,doormat,laptop,bag,bag,0,4176
1,0,clothes,hammer,bench,hammer,0,2143
1,0,rudder,hammer,tuba,hammer,0,1974
1,0,bag,knob,navel,knob,0,1759
1,0,telegraph,metal detector,doormat,doormat,0,2324
1,0,bucket,telegraph,bookshelf,bookshelf,1,1805
1,0,jet,bag,rolling pin,jet,0,2551
1,0,knob,canister,chariot,knob,0,3302
1,0,camera,washcloth,hammer,washcloth,0,11579
1,0,table,furnace,metal detector,furnace,0,1816
1,0,candelabra,tarantula,jet,jet,1,2101
1,0,macadamia,rolling pin,clothes,clothes,0,4054
1,0,canister,toolbox,candelabra,toolbox,1,2666
1,0,knob,macadamia,pizza,macadamia,0,2227
1,0,turban,coaster,doormat,turban,0,3923
1,0,bookshelf,chariot,laptop,chariot,0,3073
1,0,canister,doormat,tarantula,canister,0,2241
1,0,pizza,mistletoe,metal detector,mistletoe,0,5414
1,0,chariot,rolling pin,telegraph,chariot,1,4382
1,0,rudder,bookshelf,chariot,bookshelf,0,3979
1,0,bookshelf,bag,candelabra,bookshelf,0,3146
1,0,doormat,tuba,trigger,doormat,1,2948
1,0,clothes,tiara,tuba,tiara,0,37934
1,0,file,mistletoe,bench,mistletoe,0,2169
1,0,drain,headphones,hammer,drain,0,2201
1,0,flagpole,canister,camera,flagpole,1,2621
1,0,headphones,metal detector,plaster cast,headphones,0,2199
1,0,furnace,flagpole,bench,flagpole,0,2763
1,0,clothes,music box,plaster cast,music box,1,2370
1,0,coaster,file,tiara,file,0,2423
1,0,pizza,bookshelf,trophy,pizza,0,1833
1,0,bag,tiara,plaster cast,tiara,0,3174
1,0,tiara,furnace,telegraph,furnace,0,6338
1,0,trigger,tarantula,turban,tarantula,0,2889
1,0,flagpole,camera,canister,camera,1,2199
1,0,bumper,beaver,toolbox,beaver,0,2468
1,0,pizza,laptop,coaster,laptop,0,19274
1,0,flagpole,tarantula,toolbox,flagpole,0,2615
1,0,music box,hammer,bench,hammer,0,2898
1,0,headphones,chariot,dice,chariot,0,4488
1,0,trigger,toolbox,hammer,trigger,0,2070
1,0,mistletoe,chariot,macadamia,mistletoe,0,1831
1,0,tuba,hopscotch,turban,tuba,0,5011
1,0,beaver,bench,tuba,beaver,0,3158
1,0,turban,flagpole,bumper,turban,1,17285
1,0,candelabra,camera,mistletoe,camera,0,4347
1,0,furnace,mistletoe,dice,mistletoe,0,2143
1,0,macadamia,headphones,rudder,headphones,0,4630
1,0,camera,bowler hat,tea,camera,0,2223
1,0,file,pizza,bumper,pizza,1,1875
1,0,laptop,knob,camera,knob,1,3649
1,0,bumper,tarantula,camera,tarantula,0,2015
1,0,laptop,hopscotch,dice,laptop,0,2114
1,0,file,washcloth,metal detector,washcloth,0,6138
1,0,flagpole,trophy,tiara,tiara,0,2422
1,0,tarantula,hammer,pizza,pizza,0,4402
1,0,tiara,headphones,toolbox,toolbox,0,2568
1,0,bucket,turban,canvas,turban,1,2833
1,0,bag,tape measure,trophy,bag,1,2411
1,0,pizza,punching bag,tape measure,pizza,0,2340
1,0,coaster,rudder,telegraph,telegraph,0,7384
1,0,trigger,hopscotch,bag,trigger,1,5632
1,0,trophy,toolbox,turban,turban,1,2397
1,0,punching bag,metal detector,bumper,punching bag,0,2991
1,0,bucket,washcloth,tuba,tuba,0,3753
1,0,toolbox,laptop,metal detector,metal detector,0,2044
1,0,tuba,file,laptop,file,0,2114
1,0,telegraph,file,bowler hat,bowler hat,0,2143
1,0,candelabra,macadamia,dice,macadamia,0,4177
1,0,hopscotch,coaster,macadamia,macadamia,1,2100
1,0,music box,bucket,knob,music box,0,1958
1,0,bag,music box,coaster,bag,0,1984
1,0,furnace,punching bag,drain,drain,0,1860
1,0,bowler hat,tarantula,bench,tarantula,0,1804
1,0,plaster cast,telegraph,punching bag,telegraph,0,2001
1,0,furnace,music box,camera,music box,0,4854
1,0,clothes,camera,navel,navel,0,3448
1,0,furnace,candelabra,hopscotch,hopscotch,0,1376
1,0,bumper,tuba,jet,jet,0,2397
1,0,camera,telegraph,dice,telegraph,0,2217
1,0,washcloth,tarantula,hopscotch,tarantula,0,4738
1,0,table,laptop,tarantula,tarantula,1,2397
1,0,bucket,tape measure,camera,bucket,0,1703
1,0,rudder,furnace,clothes,clothes,0,1352
1,0,camera,turban,bench,turban,1,1818
1,0,tiara,bookshelf,bumper,tiara,0,1943
1,0,hammer,punching bag,bag,bag,0,2608
1,0,bench,rudder,laptop,rudder,1,2045
1,0,tarantula,rudder,bag,tarantula,0,3192
1,0,plaster cast,pizza,washcloth,pizza,0,1649
1,0,metal detector,tuba,music box,metal detector,0,2154
1,0,bowler hat,toolbox,dice,dice,0,2672
1,0,tape measure,plaster cast,trigger,trigger,0,1783
1,0,table,bumper,rolling pin,bumper,0,2200
1,0,tea,canvas,washcloth,tea,0,4728
1,0,coaster,tape measure,beaver,beaver,0,16824
1,0,bookshelf,file,camera,camera,0,3216
1,0,macadamia,tiara,trigger,macadamia,0,3271
1,0,tea,chariot,metal detector,tea,0,3077
1,0,bag,toolbox,file,file,1,2734
1,0,tea,bag,headphones,headphones,0,2341
1,0,rudder,music box,tea,rudder,0,3331
1,0,telegraph,hammer,bookshelf,telegraph,0,1704
1,0,tape measure,bag,trophy,bag,1,1466
1,0,tuba,bookshelf,dice,dice,0,2129
1,0,turban,clothes,bag,bag,0,4544
1,0,canister,jet,bench,jet,0,3357
1,0,pizza,tiara,bench,pizza,0,3344
1,0,rolling pin,knob,punching bag,rolling pin,1,28326
1,0,candelabra,tarantula,jet,tarantula,1,1864
1,0,bookshelf,punching bag,chariot,punching bag,0,2709
1,0,table,canvas,navel,navel,0,4715
1,0,turban,drain,mistletoe,drain,0,1676
1,0,macadamia,file,flagpole,macadamia,1,2395
1,0,bookshelf,macadamia,washcloth,macadamia,0,3090
1,0,bumper,furnace,tape measure,bumper,0,2608
1,0,headphones,mistletoe,washcloth,washcloth,0,2894
1,0,dice,knob,rudder,knob,0,2960
1,0,beaver,navel,pizza,beaver,0,1490
1,0,navel,turban,plaster cast,navel,0,4854
1,0,hopscotch,plaster cast,coaster,coaster,0,2537
1,0,jet,chariot,tiara,tiara,0,2011
1,0,knob,canvas,toolbox,toolbox,0,1989
1,0,knob,furnace,trigger,trigger,0,2532
1,0,washcloth,tiara,navel,navel,0,3855
1,0,knob,beaver,drain,knob,0,3173
1,0,pizza,beaver,telegraph,pizza,0,3357
1,0,tape measure,rudder,doormat,doormat,0,2398
1,0,file,knob,tarantula,tarantula,0,3400
1,0,laptop,beaver,jet,beaver,0,2169
1,0,trigger,coaster,canister,trigger,0,2044
1,0,candelabra,beaver,clothes,beaver,0,1505
1,0,bowler hat,rudder,tiara,rudder,0,1814
1,0,pizza,candelabra,headphones,headphones,0,1623
1,0,metal detector,tiara,beaver,beaver,0,1713
1,0,flagpole,file,macadamia,macadamia,1,9362
1,0,metal detector,canvas,clothes,metal detector,0,2541
1,0,coaster,tuba,tarantula,tarantula,1,5334
1,0,bucket,hopscotch,chariot,chariot,0,2623
1,0,toolbox,navel,bookshelf,navel,0,2045
1,0,jet,pizza,toolbox,pizza,0,4247
1,0,pizza,table,turban,turban,0,2397
1,0,navel,rolling pin,bucket,navel,0,1690
1,0,bumper,mistletoe,coaster,bumper,0,3612
1,0,laptop,tea,punching bag,punching bag,0,3273
1,0,tuba,camera,plaster cast,plaster cast,1,1762
1,0,hammer,table,coaster,hammer,0,3189
1,0,plaster cast,chariot,toolbox,chariot,0,2919
1,0,coaster,pizza,camera,camera,0,2467
1,0,trophy,furnace,pizza,pizza,0,6226
1,0,knob,tiara,turban,knob,0,2897
1,0,trigger,jet,canvas,canvas,0,2542
1,0,laptop,turban,telegraph,telegraph,0,3416
1,0,washcloth,drain,pizza,washcloth,0,2057
1,0,plaster cast,doormat,bumper,plaster cast,0,2466
1,0,table,tape measure,candelabra,tape measure,0,2936
1,0,dice,file,tea,tea,0,5387
1,0,knob,tape measure,bookshelf,tape measure,0,1788
1,0,telegraph,jet,knob,telegraph,0,5012
1,0,rolling pin,tuba,toolbox,rolling pin,0,1465
1,0,rolling pin,tea,pizza,tea,0,1589
1,0,flagpole,drain,plaster cast,drain,0,1832
1,0,canister,bucket,macadamia,macadamia,0,2099
1,0,tiara,punching bag,table,punching bag,0,4614
1,0,chariot,bumper,bag,chariot,0,1973
1,0,hopscotch,table,rudder,hopscotch,0,36892
1,0,drain,trigger,rolling pin,drain,0,1899
1,0,beaver,trigger,bucket,trigger,0,2070
1,0,hopscotch,bench,rolling pin,rolling pin,0,34444
1,0,file,bag,toolbox,bag,1,44872
1,0,toolbox,mistletoe,tape measure,mistletoe,1,154309
1,0,toolbox,hopscotch,clothes,hopscotch,0,1751
1,0,flagpole,hopscotch,pizza,flagpole,0,1801
1,0,tea,toolbox,mistletoe,tea,0,2170
1,0,turban,music box,candelabra,turban,0,2170
1,0,hammer,candelabra,canvas,canvas,0,2015
1,0,jet,bucket,furnace,bucket,0,1987
1,0,headphones,trigger,flagpole,flagpole,0,2538
1,0,knob,headphones,table,headphones,0,1817
1,0,furnace,trigger,washcloth,trigger,1,1507
1,0,headphones,candelabra,telegraph,telegraph,0,2043
1,0,tape measure,flagpole,telegraph,telegraph,0,3189
1,0,rudder,metal detector,turban,rudder,0,2006
1,0,trigger,tea,bumper,trigger,0,2001
1,0,telegraph,bookshelf,bucket,bucket,1,1702
1,0,trophy,knob,metal detector,knob,0,108713
1,0,trophy,telegraph,tarantula,telegraph,0,2608
1,0,bowler hat,clothes,doormat,doormat,0,48547
1,0,flagpole,bowler hat,bookshelf,flagpole,0,4685
1,0,metal detector,flagpole,dice,flagpole,0,2353
1,0,doormat,trigger,tuba,doormat,1,3257
1,0,punching bag,macadamia,coaster,macadamia,0,2245
1,0,rudder,pizza,canvas,rudder,0,2201
1,0,music box,plaster cast,clothes,music box,1,1506
1,0,table,bench,bucket,bucket,0,422846
1,0,tuba,canister,headphones,canister,0,2149
1,0,bookshelf,rudder,canvas,bookshelf,0,4104
1,0,rolling pin,knob,punching bag,knob,1,1960
1,0,camera,toolbox,table,camera,0,6171
1,0,candelabra,chariot,tape measure,chariot,0,2553
1,0,tuba,chariot,candelabra,chariot,0,1931
1,0,bumper,turban,dice,turban,0,2098
1,0,rudder,beaver,rolling pin,rolling pin,0,3230
1,0,toolbox,punching bag,bench,punching bag,0,3192
1,0,canister,bookshelf,mistletoe,mistletoe,0,5008
1,0,canister,canvas,rolling pin,canvas,0,12744
1,0,tape measure,bowler hat,hammer,bowler hat,0,6704
1,0,tea,bucket,plaster cast,tea,0,2084
1,0,bowler hat,music box,chariot,bowler hat,0,2190
1,0,tape measure,bowler hat,turban,tape measure,1,3393
1,0,tuba,table,mistletoe,table,0,116497
1,0,trophy,macadamia,tuba,macadamia,0,2227
1,0,rolling pin,trigger,bowler hat,bowler hat,0,2284
1,0,jet,punching bag,turban,jet,0,3343
1,0,washcloth,tape measure,music box,music box,0,2621
1,0,tuba,canvas,furnace,tuba,0,2155
1,0,file,pizza,bumper,pizza,1,3357
1,0,headphones,canvas,tape measure,headphones,0,1916
1,0,canister,dice,clothes,dice,0,3244
1,0,tuba,punching bag,flagpole,tuba,0,2087
1,0,drain,jet,trophy,jet,0,1718
1,0,tea,tuba,navel,navel,0,2964
1,0,camera,bag,macadamia,camera,0,1888
1,0,beaver,chariot,doormat,doormat,0,2591
1,0,bench,bag,canvas,canvas,0,1634
1,0,drain,tiara,tea,tea,0,3935
1,0,bucket,mistletoe,bag,bucket,0,2458
1,0,coaster,headphones,clothes,clothes,0,1956
1,0,drain,clothes,chariot,drain,0,1606
1,0,hammer,beaver,file,beaver,0,3271
1,0,candelabra,plaster cast,knob,knob,0,3724
1,0,navel,telegraph,hopscotch,navel,0,1845
1,0,knob,doormat,mistletoe,doormat,0,3132
1,0,mistletoe,hopscotch,telegraph,telegraph,0,3243
1,0,laptop,table,canister,canister,0,2836
1,0,file,jet,tape measure,jet,0,1945
1,0,bookshelf,coaster,furnace,bookshelf,0,1706
1,0,knob,flagpole,clothes,flagpole,0,2651
1,0,bag,canister,telegraph,telegraph,0,4208
1,0,bumper,bucket,headphones,bumper,0,67195
1,0,drain,bench,dice,bench,0,2043
1,0,music box,doormat,file,file,0,3141
1,0,tape measure,bench,metal detector,bench,0,1367
1,0,tiara,mistletoe,music box,mistletoe,0,1466
1,0,navel,punching bag,canister,navel,0,1506
1,0,knob,hammer,bumper,bumper,0,1479
1,0,rudder,plaster cast,rolling pin,rudder,1,3824
1,0,tiara,candelabra,laptop,tiara,0,24825
1,0,furnace,washcloth,trigger,trigger,1,2071
1,0,hammer,doormat,bucket,doormat,1,1945
1,0,bookshelf,plaster cast,bench,plaster cast,0,2115
1,0,flagpole,tea,candelabra,tea,0,1903
1,0,doormat,navel,macadamia,doormat,1,1691
1,0,rudder,jet,camera,jet,0,2043
1,0,beaver,bowler hat,washcloth,washcloth,0,3049
1,0,bowler hat,bucket,candelabra,bowler hat,0,1959
1,0,tiara,knob,hopscotch,tiara,0,2200
1,0,rolling pin,trophy,mistletoe,mistletoe,0,2440
1,0,tarantula,clothes,mistletoe,tarantula,0,1915
1,0,coaster,metal detector,bowler hat,coaster,0,2697
1,0,trophy,candelabra,bumper,bumper,0,2181
1,0,telegraph,tarantula,knob,tarantula,0,2228
1,0,dice,coaster,trophy,trophy,0,3174
1,0,doormat,navel,macadamia,navel,1,14670
1,0,jet,candelabra,coaster,jet,0,2777
1,0,bag,tuba,furnace,tuba,0,1378
1,0,jet,metal detector,macadamia,jet,0,3189
1,0,bag,flagpole,table,table,0,1378
1,0,canvas,doormat,tiara,doormat,0,1353
1,0,tea,bench,telegraph,bench,0,3330
1,0,beaver,mistletoe,plaster cast,beaver,0,1178
1,0,chariot,pizza,camera,chariot,0,2905
1,0,bucket,punching bag,file,punching bag,0,2692
1,0,metal detector,hopscotch,hammer,hopscotch,0,1335
1,0,turban,bumper,flagpole,turban,1,2665
1,0,furnace,turban,chariot,turban,0,12700
1,0,doormat,table,flagpole,doormat,0,2085
1,0,chariot,table,tea,tea,0,3824
1,0,bag,beaver,tarantula,bag,0,1918
1,0,jet,beaver,tea,jet,0,4820
1,0,tuba,drain,tape measure,drain,0,2932
1,0,washcloth,canister,laptop,laptop,0,3222
1,0,tiara,camera,rolling pin,tiara,0,1819
1,0,coaster,navel,bench,navel,0,1971
1,0,beaver,laptop,trophy,beaver,0,1678
1,0,doormat,trophy,tea,tea,0,1320
1,0,tarantula,macadamia,tea,tarantula,0,1365
1,0,camera,metal detector,trigger,trigger,1,2059
1,0,music box,laptop,headphones,music box,0,2043
1,0,doormat,jet,dice,jet,0,4728
1,0,bowler hat,tape measure,turban,tape measure,1,3271
1,0,bucket,tiara,dice,tiara,0,2395
1,0,hopscotch,trigger,bag,trigger,1,1831
1,0,drain,music box,navel,navel,0,2100
1,0,trigger,rudder,punching bag,rudder,0,1974
1,0,furnace,beaver,canister,beaver,0,3923
1,0,bench,trigger,trophy,trigger,0,2032
1,0,music box,dice,table,music box,0,2409
1,0,washcloth,coaster,flagpole,flagpole,0,1746
1,0,turban,toolbox,trophy,turban,1,2694
1,0,bench,candelabra,doormat,doormat,0,2539
1,0,doormat,navel,toolbox,navel,0,2289
1,0,bookshelf,metal detector,navel,bookshelf,0,2170
1,0,furnace,tarantula,plaster cast,tarantula,0,2565
1,0,file,table,clothes,file,0,3331
1,0,hopscotch,bumper,canister,hopscotch,0,3264
1,0,camera,turban,bench,turban,1,1548
1,0,canvas,flagpole,chariot,flagpole,0,3683
1,0,tiara,hammer,canister,canister,0,1817
1,0,metal detector,candelabra,rolling pin,candelabra,0,3894
1,0,bucket,clothes,pizza,pizza,0,1859
1,0,pizza,tuba,telegraph,telegraph,0,2529
1,0,bowler hat,jet,headphones,jet,0,2506
1,0,canister,tape measure,table,canister,0,1394
1,0,bowler hat,punching bag,clothes,punching bag,0,2932
1,0,hopscotch,music box,macadamia,music box,0,1691
1,0,tape measure,tiara,tarantula,tarantula,0,1747
1,0,rudder,chariot,coaster,rudder,0,4148
1,0,bucket,trophy,rudder,bucket,0,2044
1,0,drain,pizza,doormat,doormat,0,3979
1,0,music box,flagpole,beaver,flagpole,0,3372
1,0,hammer,bench,chariot,chariot,0,2214
1,0,furnace,trophy,headphones,headphones,1,1988
1,0,headphones,bookshelf,navel,bookshelf,0,2030
1,0,clothes,tape measure,laptop,tape measure,0,2807
1,0,flagpole,mistletoe,hammer,mistletoe,0,2609
1,0,turban,tea,canister,turban,0,2908
1,0,table,trophy,bowler hat,bowler hat,0,2244
1,0,beaver,punching bag,dice,beaver,0,1474
1,0,trigger,candelabra,navel,navel,0,2256
1,0,laptop,rolling pin,flagpole,flagpole,0,2950
1,0,knob,coaster,tea,tea,0,4839
1,0,macadamia,bowler hat,plaster cast,bowler hat,0,2622
1,0,washcloth,jet,clothes,jet,0,1464
1,0,tape measure,tea,hopscotch,tea,0,2369
1,0,bookshelf,beaver,turban,bookshelf,0,1619
1,0,file,furnace,navel,navel,0,25741
1,0,laptop,hammer,jet,jet,0,1993
1,0,canvas,bucket,turban,bucket,1,2737
1,0,mistletoe,flagpole,jet,flagpole,0,1635
1,0,candelabra,punching bag,washcloth,washcloth,0,3818
1,0,furnace,hammer,tea,tea,0,1251
1,0,toolbox,coaster,bucket,toolbox,0,3994
1,0,tea,clothes,bookshelf,tea,0,2271
1,0,metal detector,canister,bowler hat,canister,0,1971
1,0,bag,dice,washcloth,dice,0,3901
1,0,bookshelf,pizza,doormat,pizza,0,1917
1,0,headphones,tarantula,rolling pin,tarantula,0,6794
1,0,washcloth,toolbox,doormat,toolbox,0,1757
1,0,beaver,macadamia,table,beaver,0,1464
1,0,chariot,file,trigger,file,0,1960
1,0,rudder,bench,laptop,bench,1,3429
1,0,hammer,turban,macadamia,macadamia,0,2260
1,0,trigger,bumper,music box,trigger,0,3481
1,0,trigger,metal detector,camera,camera,1,2001
1,0,macadamia,tape measure,rolling pin,macadamia,0,2466
1,0,plaster cast,table,jet,jet,0,4022
1,0,telegraph,drain,macadamia,telegraph,0,3941
1,0,music box,pizza,canister,pizza,1,2709
1,0,pizza,dice,trigger,dice,0,3638
1,0,canister,music box,pizza,pizza,1,1762
1,0,drain,metal detector,bag,drain,0,2800
1,0,telegraph,toolbox,music box,music box,0,3124
1,0,plaster cast,file,canvas,canvas,0,1549
1,0,pizza,bag,bowler hat,bowler hat,0,1323
1,0,turban,file,headphones,file,0,2962
1,0,music box,rolling pin,bookshelf,rolling pin,0,1916
2,0,telegraph,bumper,canvas,telegraph,0,6073
2,0,punching bag,tarantula,music box,tarantula,0,3022
2,0,telegraph,chariot,rolling pin,chariot,1,4505
2,0,rudder,bumper,washcloth,washcloth,0,2541
2,0,flagpole,bucket,pizza,pizza,0,2501
2,0,navel,chariot,tarantula,tarantula,0,3384
2,0,washcloth,rolling pin,turban,rolling pin,0,2374
2,0,canvas,laptop,macadamia,macadamia,0,3402
2,0,beaver,jet,canister,beaver,0,6017
2,0,headphones,hopscotch,beaver,beaver,0,2339
2,0,washcloth,chariot,trophy,chariot,0,3247
2,0,drain,bucket,laptop,laptop,0,3127
2,0,rudder,candelabra,file,candelabra,0,4439
2,0,drain,table,candelabra,drain,0,4069
2,0,laptop,knob,camera,knob,1,2621
2,0,doormat,furnace,rolling pin,rolling pin,0,4213
2,0,canister,candelabra,toolbox,candelabra,1,2567
2,0,bench,headphones,punching bag,headphones,0,3329
2,0,metal detector,bucket,tarantula,tarantula,0,1989
2,0,washcloth,knob,bench,bench,0,4048
2,0,tarantula,dice,canvas,tarantula,0,2985
2,0,dice,rolling pin,coaster,dice,0,4348
2,0,furnace,trophy,headphones,trophy,1,5136
2,0,plaster cast,rolling pin,rudder,rolling pin,1,3648
2,0,tuba,knob,bowler hat,tuba,0,3291
2,0,hopscotch,punching bag,doormat,doormat,0,3545
2,0,bumper,drain,bowler hat,bowler hat,0,4392
2,0,navel,bowler hat,mistletoe,mistletoe,0,3850
2,0,pizza,laptop,plaster cast,pizza,0,2128
2,0,mistletoe,rudder,canister,mistletoe,0,2754
2,0,trigger,bookshelf,table,trigger,0,1099
2,0,dice,hammer,plaster cast,dice,0,2725
2,0,mistletoe,tape measure,toolbox,mistletoe,1,4599
2,0,drain,tarantula,bookshelf,tarantula,0,2935
2,0,coaster,canvas,drain,drain,0,1583
2,0,toolbox,furnace,macadamia,macadamia,0,1983
2,0,washcloth,table,telegraph,washcloth,0,3659
2,0,bumper,clothes,trophy,bumper,0,1704
2,0,trophy,canvas,music box,trophy,0,3118
2,0,bowler hat,laptop,furnace,bowler hat,0,4090
2,0,flagpole,navel,rudder,navel,0,2810
2,0,coaster,tuba,tarantula,tarantula,1,3575
2,0,file,drain,canister,canister,0,4518
2,0,canvas,mistletoe,punching bag,mistletoe,0,2834
2,0,canvas,hopscotch,bowler hat,bowler hat,0,2954
2,0,doormat,camera,headphones,doormat,0,2080
2,0,telegraph,trigger,clothes,clothes,0,3100
2,0,hopscotch,bookshelf,jet,jet,0,2605
2,0,toolbox,rudder,drain,rudder,0,3279
2,0,trophy,camera,punching bag,trophy,0,3682
2,0,navel,music box,jet,jet,0,2577
2,0,canvas,camera,beaver,beaver,0,4679
2,0,hopscotch,drain,camera,drain,0,5070
2,0,file,rolling pin,hammer,rolling pin,0,1593
2,0,table,tarantula,laptop,tarantula,1,1073
2,0,trophy,file,hopscotch,hopscotch,0,3002
2,0,hammer,trophy,navel,navel,0,2196
2,0,plaster cast,camera,tuba,camera,1,1653
2,0,hammer,doormat,bucket,hammer,1,1895
2,0,bench,macadamia,bumper,macadamia,0,1346
2,0,laptop,navel,bumper,navel,0,3940
2,0,mistletoe,laptop,trigger,mistletoe,0,1721
2,0,navel,dice,tape measure,navel,0,1274
2,0,hopscotch,macadamia,coaster,macadamia,1,3113
2,0,trophy,canister,plaster cast,trophy,0,2539
2,0,doormat,laptop,bag,laptop,0,4094
2,0,clothes,hammer,bench,clothes,0,1236
2,0,rudder,hammer,tuba,tuba,0,6175
2,0,bag,knob,navel,knob,0,2002
2,0,telegraph,metal detector,doormat,doormat,0,3782
2,0,bucket,telegraph,bookshelf,bookshelf,1,1680
2,0,jet,bag,rolling pin,jet,0,2612
2,0,knob,canister,chariot,chariot,0,2183
2,0,camera,washcloth,hammer,camera,0,4565
2,0,table,furnace,metal detector,metal detector,0,5623
2,0,candelabra,tarantula,jet,tarantula,1,3217
2,0,macadamia,rolling pin,clothes,macadamia,0,2346
2,0,canister,toolbox,candelabra,candelabra,1,2714
2,0,knob,macadamia,pizza,knob,0,1993
2,0,turban,coaster,doormat,coaster,0,1057
2,0,bookshelf,chariot,laptop,chariot,0,1656
2,0,canister,doormat,tarantula,tarantula,0,2377
2,0,pizza,mistletoe,metal detector,pizza,0,1499
2,0,chariot,rolling pin,telegraph,rolling pin,1,1307
2,0,rudder,bookshelf,chariot,chariot,0,1448
2,0,bookshelf,bag,candelabra,bag,0,1842
2,0,doormat,tuba,trigger,doormat,1,1955
2,0,clothes,tiara,tuba,tuba,0,2130
2,0,file,mistletoe,bench,mistletoe,0,2281
2,0,drain,headphones,hammer,drain,0,1986
2,0,flagpole,canister,camera,flagpole,1,2267
2,0,headphones,metal detector,plaster cast,metal detector,0,1594
2,0,furnace,flagpole,bench,furnace,0,2055
2,0,clothes,music box,plaster cast,music box,1,2725
2,0,coaster,file,tiara,tiara,0,3547
2,0,pizza,bookshelf,trophy,pizza,0,3027
2,0,bag,tiara,plaster cast,tiara,0,2113
2,0,tiara,furnace,telegraph,tiara,0,3784
2,0,trigger,tarantula,turban,tarantula,0,3164
2,0,flagpole,camera,canister,flagpole,1,2690
2,0,bumper,beaver,toolbox,beaver,0,5529
2,0,pizza,laptop,coaster,pizza,0,2394
2,0,flagpole,tarantula,toolbox,tarantula,0,1594
2,0,music box,hammer,bench,music box,0,3739
2,0,headphones,chariot,dice,chariot,0,4842
2,0,trigger,toolbox,hammer,trigger,0,913
2,0,mistletoe,chariot,macadamia,chariot,0,1524
2,0,tuba,hopscotch,turban,turban,0,4407
2,0,beaver,bench,tuba,beaver,0,3055
2,0,turban,flagpole,bumper,turban,1,3218
2,0,candelabra,camera,mistletoe,mistletoe,0,12673
2,0,furnace,mistletoe,dice,mistletoe,0,5123
